CarID,Date,Age,Speed,Distance,Efficiency,Status,Type,Review
1,2023-04-01,2,60.0,156.0,17,Good,Sedan,Smooth
2,2023-04-02,2,110.0,285.0,17,Good,SUV,Rough
3,2023-04-03,8,70.0,124.0,11,Average,SUV,Rough
4,2023-04-04,6,113.0,176.0,19,Good,Sedan,Smooth
5,2023-04-05,3,,114.0,10,Average,Truck,Average
6,2023-04-06,1,72.0,165.0,13,Average,Sedan,Average
7,2023-04-07,4,96.0,194.0,15,Good,Truck,Rough
8,2023-04-08,3,99.0,234.0,17,Good,Truck,Rough
9,2023-04-09,2,64.0,113.0,18,Good,Truck,Rough
10,2023-04-10,9,93.0,142.0,18,Good,SUV,Average
11,2023-04-11,6,119.0,190.0,16,Good,Sedan,Average
12,2023-04-12,1,78.0,120.0,10,Average,SUV,Average
13,2023-04-13,8,67.0,153.0,18,Good,Truck,Excellent
14,2023-04-14,1,72.0,123.0,15,Good,SUV,Average
15,2023-04-15,7,68.0,188.0,13,Average,SUV,Average
16,2023-04-16,3,107.0,243.0,11,Average,SUV,Average
17,2023-04-17,4,72.0,159.0,11,Average,Sedan,Excellent
18,2023-04-18,1,104.0,162.0,17,Good,SUV,Excellent
19,2023-04-19,1,82.0,232.0,14,Average,Sedan,Smooth
20,2023-04-20,7,81.0,165.0,14,Average,Sedan,Excellent
21,2023-04-21,6,105.0,310.0,19,Good,Sedan,Excellent
22,2023-04-22,6,103.0,191.0,18,Good,Sedan,Smooth
23,2023-04-23,7,63.0,177.0,13,Average,Sedan,Rough
24,2023-04-24,9,98.0,150.0,12,Average,Truck,Rough
25,2023-04-25,7,91.0,216.0,10,Average,Sedan,Smooth
26,2023-04-26,1,60.0,110.0,19,Good,SUV,Rough
27,2023-04-27,8,73.0,215.0,10,Average,Truck,Smooth
28,2023-04-28,5,82.0,206.0,15,Good,Truck,Rough
29,2023-04-29,8,89.0,181.0,10,Average,SUV,Average
30,2023-04-30,5,60.0,104.0,12,Average,Truck,Smooth
31,2023-05-01,4,101.0,295.0,17,Good,SUV,Average
32,2023-05-02,3,114.0,252.0,19,Good,SUV,Average
33,2023-05-03,6,70.0,203.0,14,Average,Truck,Rough
34,2023-05-04,6,113.0,174.0,15,Good,SUV,Rough
35,2023-05-05,9,,,17,Good,SUV,Smooth
36,2023-05-06,4,85.0,206.0,18,Good,Sedan,Average
37,2023-05-07,8,101.0,232.0,13,Average,SUV,Average
38,2023-05-08,1,70.0,152.0,12,Average,SUV,Average
39,2023-05-09,7,77.0,228.0,16,Good,Sedan,Rough
40,2023-05-10,7,72.0,204.0,12,Average,Truck,Average
41,2023-05-11,6,73.0,131.0,10,Average,SUV,Average
42,2023-05-12,7,105.0,,11,Average,Truck,Rough
43,2023-05-13,8,73.0,212.0,19,Good,SUV,Average
44,2023-05-14,6,77.0,160.0,12,Average,SUV,Smooth
45,2023-05-15,9,64.0,145.0,13,Average,Truck,Average
46,2023-05-16,4,69.0,162.0,13,Average,SUV,Average
47,2023-05-17,7,97.0,278.0,10,Average,SUV,Average
48,2023-05-18,7,97.0,181.0,17,Good,SUV,Average
49,2023-05-19,9,73.0,188.0,19,Good,Sedan,Average
50,2023-05-20,8,92.0,180.0,10,Average,SUV,Rough
51,2023-05-21,1,84.0,192.0,16,Good,Truck,Average
52,2023-05-22,7,81.0,203.0,17,Good,Sedan,Excellent
53,2023-05-23,9,105.0,221.0,12,Average,Sedan,Smooth
54,2023-05-24,6,100.0,178.0,15,Good,Sedan,Rough
55,2023-05-25,8,63.0,117.0,17,Good,SUV,Rough
56,2023-05-26,1,,192.0,14,Average,SUV,Excellent
57,2023-05-27,6,89.0,143.0,14,Average,Truck,Average
58,2023-05-28,3,70.0,118.0,11,Average,Truck,Excellent
59,2023-05-29,6,69.0,123.0,15,Good,Sedan,Average
60,2023-05-30,4,91.0,232.0,18,Good,SUV,Excellent
61,2023-05-31,9,98.0,242.0,14,Average,Sedan,Rough
62,2023-06-01,3,106.0,287.0,12,Average,SUV,Excellent
63,2023-06-02,7,117.0,341.0,16,Good,SUV,Smooth
64,2023-06-03,5,115.0,278.0,14,Average,Truck,Average
65,2023-06-04,3,85.0,229.0,19,Good,Truck,Average
66,2023-06-05,2,99.0,271.0,18,Good,SUV,Excellent
67,2023-06-06,8,67.0,157.0,15,Good,Truck,Average
68,2023-06-07,2,116.0,,14,Average,SUV,Rough
69,2023-06-08,9,116.0,315.0,10,Average,Sedan,Average
70,2023-06-09,9,70.0,,19,Good,Truck,Excellent
71,2023-06-10,9,77.0,187.0,17,Good,SUV,Average
72,2023-06-11,7,77.0,165.0,15,Good,Truck,Excellent
73,2023-06-12,3,76.0,,19,Good,SUV,Rough
74,2023-06-13,8,72.0,118.0,19,Good,Sedan,Smooth
75,2023-06-14,3,93.0,154.0,13,Average,SUV,Average
76,2023-06-15,4,73.0,135.0,17,Good,Sedan,Excellent
77,2023-06-16,4,82.0,131.0,17,Good,Sedan,Smooth
78,2023-06-17,2,99.0,254.0,15,Good,Truck,Rough
79,2023-06-18,5,60.0,116.0,15,Good,SUV,Average
80,2023-06-19,2,82.0,206.0,10,Average,SUV,Rough
81,2023-06-20,8,105.0,269.0,18,Good,Sedan,Smooth
82,2023-06-21,8,61.0,154.0,10,Average,Sedan,Rough
83,2023-06-22,7,104.0,276.0,13,Average,SUV,Average
84,2023-06-23,9,61.0,138.0,10,Average,Truck,Excellent
85,2023-06-24,9,108.0,275.0,14,Average,SUV,Rough
86,2023-06-25,6,,242.0,12,Average,Truck,Excellent
87,2023-06-26,4,119.0,197.0,10,Average,Sedan,Smooth
88,2023-06-27,4,119.0,227.0,16,Good,Truck,Average
89,2023-06-28,2,101.0,242.0,15,Good,Sedan,Rough
90,2023-06-29,3,91.0,263.0,11,Average,SUV,Average
91,2023-06-30,4,,178.0,16,Good,Truck,Smooth
92,2023-07-01,8,108.0,224.0,14,Average,Sedan,Average
93,2023-07-02,5,63.0,101.0,17,Good,SUV,Smooth
94,2023-07-03,5,112.0,324.0,13,Average,Truck,Rough
95,2023-07-04,4,72.0,141.0,14,Average,Sedan,Smooth
96,2023-07-05,8,67.0,156.0,16,Good,SUV,Smooth
97,2023-07-06,8,74.0,121.0,18,Good,SUV,Excellent
98,2023-07-07,3,107.0,289.0,16,Good,SUV,Rough
99,2023-07-08,1,91.0,143.0,18,Good,Truck,Excellent
100,2023-07-09,1,118.0,215.0,11,Average,Truck,Average
